"RTL_STORE_CD","WJXBFS1"
"101415037",139
"201880474",117.6666
"101415022",215.3333
"105629190",39
"101415014",246.0001
"101415019",236.3335
"101415034",121.9999
"205629263",119.3333
"103531838",95.9998
"101878159",15
"101415024",494.6667
"101415010",149.3333
"107395565",389
"101415004",170.3334
"102163393",361
"101942907",51.0001
"101415036",238.3333
"101415042",572.9998
"101415044",352.3334
"101415035",724.6665
"101415020",252.6669
"102709741",95
"101415023",144.9999
"101808302",20.3333
"102167983",283.6667
"101415039",51
"101415033",711.6665
"101415029",122.3335
"101901042",1297.9997
"201415038",195.9998
"101415048",567.6666
"102649108",195.0001
"101415026",353
"101415043",685.6666
"103789114",218.9999
"103755213",164.3335
"101415045",476.6668
"101415040",157.0003
"101798919",256.3333
"103895427",186.6666
"1093697",3448.9995
"101415031",101
